Strain_name|origin_geographic_area|origin_locality|origin_habitat|origin_sample_date|temperature|ph|salinity|salinity_unit|latitude|longitude|depth|
>IRI44a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E14d3|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc23|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|06/06/1999|85|6,8|23|g/L-NaCl|12°48'12"N|103°56'20"W|2628|
>E14p18|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc45|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|09/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>GE23|||||85|6,8|23|g/L NaCl||||
>KAZA|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc69|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|12/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E14d1|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E15p32|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc40|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|08/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E2p6|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>IRI49a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E10p6|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>AMTc04|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|30/05/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2628|
>E15d23|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E10p10|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>E2p14|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>IRI29c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>GE01|||Hydrothermal fluid||85|7|2,5|% NaCl||||
>E15p5|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>CIR05a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>IRI36c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|18/06/2001|85|6,8|23|g/L-NaCl|||806|
>E1d2|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E2p8|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc77|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|13/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°58'49"W|2632|
>EXT13c|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|25/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>AMTc12|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|01/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2634|
>AMTc55|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|10/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>IRI56a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>AMTc44|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|09/06/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2596|
>E14p13|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>GE20|||Hydrothermal-chimney||85|7|2,5|%-NaCl|||2000|
>IRI61a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>AMTc03|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|28/05/1999|85|6,8|23|g/L-NaCl|12°48'43"N|103°56'21"W|2599|
>E15d20|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E14d10|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc05|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|30/05/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2628|
>AMTc32|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|07/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2626|
>IRI23c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E15d24|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc70|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|13/06/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2631|
>IRI02c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|28/05/2001|85|6,8|23|g/L-NaCl|36°13'41"N|33°53'41"W|2338|
>E15p30|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>IRI60a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>AMTc96|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|06/06/1999|85|6,8|23|g/L-NaCl|12°48'12"N|103°56'20"W|2628|
>E15d18|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc97|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-source|06/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W|2627|
>CIR08a|Indian-ocean||Hydrothermal-chimney||85|6,8|23|g/L-NaCl|25°0'0"S|75°0'0"E||
>E10p12|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>E10p5|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>E5p1|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2278|
>549|||||85|6,8|23|g/L NaCl||||
>IRI38c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|18/06/2001|85|6,8|23|g/L-NaCl|||806|
>E2p15|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>IRI34c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>IRI09c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>E12d9|East-pacific-ridge|EPR-9°N|Hydrothermal-chimney|22/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc52|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|10/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E10p3|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
